0,1,2,3,4,5,6
"Table 19: Female Enrollment in Technical and Vocational Education Institutions, 2012",,,,,,
Type of Institution,Number,Teacher,,Enrollment,,
,,Number,% Female,Number,% Female,"% Female 
Enrollment 
in TVEIs"
Polytechnic institute,218,"4,452",14.82,"136,962",10.79,8.90
Technical school and college,167,"2,813",16.32,"64,236",22.12,8.60
Glass and ceramic institute,1,21,19.05,"1,018",6.09,0.04
Graphic arts institute,1,14,28.57,682,7.04,0.03
Survey institute,4,54,9.26,"1,241",5.16,0.04
Technical training center,81,"1,292",16.41,"25,960",33.44,5.24
Textile institute,33,513,16.18,"10,009",7.78,0.47
Textile vocational,50,340,17.94,"5,510",23.77,0.79
Agriculture training institute,109,953,19.10,"28,890",23.96,4.18
Marine technology,1,50,8.00,915,11.48,0.06
SSC vocational (independent),169,"1,976",20.19,"24,426",27.77,4.10
SSC vocational (attached),"1,254","6,216",23.26,"114,227",35.34,24.40
HSC vocational (independent),576,"5,295",21.61,"105,303",34.45,21.93
HSC vocational (attached),663,"2,333",20.53,"88,797",39.51,21.20
Total,"3,327","26,322",19.53,"608,176",27.21,99.98
"HSC = higher secondary certificate, SSC = secondary school certificate, TVEI = technical and vocational education institution,  
Voc = vocational.
Note: Percentages does not total 100% because of rounding off the decimals.
Source: Government of Bangladesh, Bangladesh Bureau of Educational Information and Statistics. 2013. Statistical Pocketbook of 
Bangladesh 2012. Dhaka.",,,,,,
