0,1,2,3,4,5,6
"Table 16: Gross Enrollment, Completion,  
and Dropout Rates at Secondary Level  
(%)",,,,,,
Year,"Gross 
Enrollment",,Completion,,Dropout Rate,
,Boys,Girls,Boys,Girls,Boys,Girls
2004,48.41,39.58,13.79,20.12,86.21,79.88
2005,47.17,48.62,16.71,23.46,83.29,76.54
2010,39.64,49.44,39.47,46.17,60.53,53.83
2011,43.44,51.96,47.78,40.16,52.22,59.84
2012,45.70,56.63,59.56,48.17,40.44,51.83
2014,62.94,75.88,65.98,51.62,34.02,48.38
2015,67.75,77.84,66.28,54.08,33.72,45.92
"Source: Government of Bangladesh, Bangladesh Bureau of Educational 
Information and Statistics. 2015. Bangladesh Education Statistics. Dhaka.",,,,,,
