0,1
Action Areas,Responsibility
"K.  Assign a gender focal point within NSDC, who will address 
gender as a cross-cutting theme and work closely with industry 
skills councils and informal education committees within 
NSDC.",NSDC
"L.  Strengthen the capacity of the national statistical system, 
ministries, and the private sector in generating and reporting 
skills-related data disaggregated by sex.","NSDC, MOE, MOWCA, Bangladesh Bureau of 
Statistics (BBS), and private sector"
NGO and Private Sector Role in Skills Development and TVET,
"M.  Encourage NGOs to reorganize and redefine their future 
development initiatives in skills training in line with market 
forces; develop capacity to provide necessary market-driven 
skills for self-employment; and create institutional linkages to 
help women acquire higher vocational skills for wage and self-
employment, including in the formal sector.","NSDC, NGOs, MOE"
"N.  Recognize and support private sector initiatives in technical 
and vocational education, as they are more likely to be attuned 
to market needs and have unused capacity","NSDC, MOE"
Promoting Women’s Entrepreneurship and Migration,
"O.  Promote and support increased women’s economic 
participation in small-scale entrepreneurship through various 
incentives and support for access to markets and finances, 
monitoring of workplace safety measures, and provision 
of childcare support. Appropriate vocational and technical 
education could also be provided, while ensuring safety and 
security.","NSDC; NGOs; Bureau of Manpower, Employment and 
Training (BMET); technical training centers (TTCs)"
"P.  Rural women’s entrepreneurship in the form of self-
employment will require different kind of training, financing, 
and management. Orientation on entrepreneurship including 
management of finances could be included in the secondary 
school curriculum and as a part of continuing education.","NCTB, NGOs, NSDC, Palli Karma-Sahayak 
Foundation (PKSF), Bangladesh Academy for Rural 
Development (BARD)"
"Q.  Strengthen government initiatives for providing skills 
development in care giving and hospitality (particularly 
in the European countries where there is high demand for 
caregivers for old people), and other areas identified according 
to international market demand. This would facilitate higher 
value female labor migration from Bangladesh in higher  
skill areas.","BMET, NGOs, Ministry of Expatriates’ Welfare and 
Overseas Employment"
Increasing Number and Representation of Women in Tertiary Education,
"R.  Create interest and motivation for girls and women to enter 
technical and scientific subjects and fields through campaigns 
in the media and education institutions.","All stakeholders including Government of 
Bangladesh (GoB)"
"S.  Introduce entry quotas to technical universities for women  
and provide job counseling and job fairs as well as internships 
with private sector to enable them to find employment  
on completion.","University Grants Commission (UGC), MOE"
"T.  Provision of financial support for the poor girls and women, 
quality improvement of education, development of gender-
balanced curricula, and promotion of girl-friendly educational 
institutions could be implemented to address the barriers for 
girls and women to access tertiary education.","NCTB, MOE, UGC"
