0,1
Action Areas,Responsibility
"K.  For government departments, such as BPDB, to employ a 
specific number of women for specific activities once they 
receive the necessary training.","SREDA, BPDB, Rural Development Academy (RDA), 
Bangladesh Rural Development Board (BRDB), BREB"
"L.  Ensure market demand for future career development 
programs skills development programs coordinate with 
important private and public sector employers’ associations, 
corporate and individual employers to seek and secure 
their support. Undertake pilot projects to rapidly assess 
the feasibility of planned activities in training and skills 
development of women before scaling up.","Planning Commission, MPEMR, SREDA, BREB, 
development partners, research organizations"
"M.  Promote women’s entrepreneurship in manufacturing and 
marketing of potential energy saving technologies such as 
Clean Cook-stoves as long term business and employment 
opportunities.","MPEMR, SREDA, Ministry of Industries, ADB and 
other development partners, the Household Energy 
Platform (HEP), NGOs
SME Foundation, Bangladesh Technical Education 
Board (BTEB), Employers’ Association, Chambers  
of Commerce and Industry, Women’s Chamber  
of Commerce"
"N.  Ensure enabling working environment by providing childcare, 
toilets, security for women employees","Public and private sectors employers in the energy 
sector"
Increasing Training Opportunities for Women,
"O.  Review different employment options to increase women’s 
employment in the mainstream energy sector (e.g., electricity 
and gas) and establish linkages with training institutions and 
courses that cater to women and girls.","Planning Commission, development partners, BPDB"
"P.  Promote women’s training through scholarships and 
reservations of seats for women",Bangladesh Technical Education Board (BTEB)
Institutional Capacity Building,
"Q.  Develop accountability for gender mainstreaming and 
monitoring in the sector.",MPEMR with oversight from MOWCA
"R.  Develop the capacity of institutions in the energy sector to 
address gender issues.","Gender and Energy Network Bangladesh with 
support from Energy Sector organizations, MOWCA, 
and Development Partners"
"S.  Develop the capability of teachers and students of technical 
universities in addressing women’s needs and on the 
importance of women’s participation in power and energy.","University Grants Commission and technical 
universities"
"T.  Coordinate with existing national networks by inviting to 
ongoing activities/programs and commissioning their services 
that can help in engendering and mainstreaming activities 
in different sectors by using their skills, experience and 
connections for promoting focused efforts in gender equality.","Energy Sector organizations, SREDA, MOWCA, 
Development Partners"
"U.  Develop women’s leadership and representation at senior 
levels and on the board.",Energy sector organizations
Source: Author.,
