0,1
Action Areas,Responsibility
Policy Development,
"A.   Review and amend existing policies to ensure women’s 
representation in the transport sector and to integrate gender 
considerations (e.g., different transportation—mobility and 
accessibility—needs and interests of women and men).","Government of Bangladesh (Ministry of Commerce, 
Ministry of Railways, Bangladesh Inland Water 
Transport Authority, Ministry of Civil Aviation  
and Tourism)"
"Formulate policies for pedestrian mobility (especially women’s 
B. 
safety) during road and bridge construction and maintenance at 
the national and local government levels.","Government of Bangladesh, donors, nongovernment 
organizations (NGOs)"
Institutional Capacity Development of Government Agencies,
"C.   Increase women’s participation and representation in transport 
sector institutions, e.g., associations, boards, committees of 
both private and public transport sector organizations.","Government of Bangladesh (Ministry of Commerce, 
Ministry of Railways, Bangladesh Inland Water 
Transport Authority, Ministry of Civil Aviation and 
Tourism), private sector transport associations"
"D.   Develop the competencies of government transport agencies 
and private sector transport operators and associations  
in mainstreaming gender in transport development  
and management.","Private sector transport associations; government 
agencies such as Ministry of Commerce, Ministry 
of Railways, Bangladesh Inland Water Transport 
Authority, Ministry of Civil Aviation and Tourism, 
Ministry of Planning"
Building Partnerships between the Government and the Private Sector,
"E.  Do oversight and monitoring of private service providers to 
encourage and ensure (i) employment of women and provision 
of equal wage for work of equal value and type to women and 
men transport workers in compliance with labor standards, and 
(ii) attention to the differing needs and interests of women and 
men as users of transport services.","Ministry of Road Transport and Bridges, Bangladesh 
Inland Water Transport Authority, private  
sector associations"
Research and Evaluation,
"F. 
Conduct continuous research and monitoring to assess the 
changing transport (mobility and accessibility) needs of women 
and men, and how transport service providers are addressing 
these needs. Pay attention to the needs of women in small 
towns, security of women in urban and rural areas (including 
road safety), and women’s employment.","Government of Bangladesh, donors, NGOs, 
consultants, contractors"
Project Planning and Design,
"G.   Traffic planners and transport project designers must listen 
to the voices of women users and ensure that transport 
infrastructures (road, rail, and water) are responsive to their 
distinct needs.","Government of Bangladesh, donors, NGOs, 
community-based organizations"
"H.  Include civil society organizations (NGOs, transport 
associations, community organizations) during transport 
project formulation to address needs of special groups such as 
children, women, the elderly, and people with disabilities.","Planning Commission, NGOs, Transport  
Owners Association"
"I.  Ensure safe outdoor spaces with standard streetlighting and 
sanitation facilities in public places, and climate-resilient and 
disability-sensitive infrastructure design. Safety and security 
definitions should be broadened to include physical safety 
(e.g., not being injured in any type of traffic accident) as well as 
freedom from fear of sexual violence and harassment.","Government of Bangladesh, donors, NGOs and 
community-based organizations"
Project Implementation and Evaluation,
"J.  Provide women with employment opportunities in project 
implementation (e.g., construction) and in the management of 
transport facilities and services.","Ministry of Road Transport and Bridges, Roads and 
Highways Department, Inland Water Transport 
Authority, railways"
"K.  Improve the access of girls and women to technical schools 
and training institutions to enable them to assume technical 
and supervisory roles in the transport sector, through quotas, 
providing scholarships, and training teachers and trainers in 
gender sensitivity.","Directorate of Secondary and Higher Education; 
Ministry of Labour and Employment; Bureau of 
Manpower, Employment and Training"
