0,1
Action Areas,Responsibility
Planning and Policy Making,
"A.   Review and revise rules and regulations of the local 
government bodies that are being implemented to clarify 
provisions for women’s representation in various committees 
and citizens’ representation, and to provide equal rights  
and responsibilities.","Government of Bangladesh (Ministry of Local 
Government, Rural Development and Cooperatives) 
in collaboration with local government institutes and 
civil society organizations"
"Include in planning at all levels the perspectives and priorities 
B. 
of women from various socioeconomic, age, and professional 
groups by specifying at least one-third representation  
of women.","Government agencies, local government institutes, 
projects and civil society organizations"
Institutional Capacity Development of Government Agencies,
"C.   Consider the gender implications of institutional reforms for 
better urban governance with reference to the institutions’ 
gender strategies (e.g., LGED and WASA). 
•	 Review and revise human resources, training, finance, and 
other institutional practices for gender mainstreaming;
•	 Take special measures to increase the number and 
representation of women in decision-making and technical 
specializations; and 
•	 Create an enabling environment for women to work 
comfortably alongside men.","Government agencies, local government institutes 
and projects"
"D.   For ADB BRM to dedicate adequate human resources for 
social development from varied backgrounds with experience 
relevant to specific project types.",ADB
"E. 
For MOWCA to play oversight role in advising, guiding, 
and monitoring institutional strengthening of government 
institutions in terms of gender mainstreaming. MOWCA’s 
role and responsibilities at various levels formalized through 
memorandums of understanding with other government 
agencies.",Ministry of Women and Children Affairs (MOWCA)
Strengthening Women’s Leadership,
"F. 
Promote the development of the leadership skills and capacity 
of locally elected female representatives to fulfill their roles 
and responsibilities through involvement in program planning, 
community mobilizing, and networking among themselves. 
This may be made into performance criteria for receipt of block 
grants. Horizontal learning and exchanges can facilitate the 
dissemination and adoption of best practices in this area.","Government agencies, local government institutes, 
and projects in collaboration with women’s 
organizations and MOWCA"
Resource Allocation,
"G.   Provide adequate budget for the implementation of gender 
strategies and action plans whether it be from tax collection or 
from the central government budget.","Ministry of Finance; local government bodies; 
Ministry of Local Government, Rural Development 
and Cooperatives and projects"
"H.  Subject municipality and city corporation budgets to the same 
kind of screening as national budgets and prepare and evaluate 
them through a gender-responsive budgeting process, i.e., 
all budget allocations are analyzed for their potential impact 
on women and men. A minimum percentage, e.g., 30% of 
the overall budget, would have to be allocated for activities, 
services, staff that would benefit women.",
