0,1
Action Areas,Responsibility
Monitoring and Evaluation,
"I. 
Strengthen the monitoring and reporting of project and 
institutional GAPs and integrate into the institutional 
management information system.
•	 Ensure the collection, analysis, and use of sex-disaggregated 
information at all levels;
•	 Embed monitoring responsibilities in the project 
management units (not inly in consultant contracts) and 
assign specific responsibilities to senior management 
and monitoring and evaluation units for demanding, 
disseminating, and using sex-disaggregated data.","Government agencies, local government institutes 
and projects"
Employment Targets,
"Continue setting project employment targets for women at all 
J. 
levels as this is effective in keeping attention focused on the 
issue. There is a need to set minimum qualifications required 
for different posts—to allow the hiring of women. Government 
quotas may need upward revision. Stereotypes about what jobs 
women are suitable need to be gradually changed and women 
supported to break them by providing safe and comfortable 
working environments.","Government agencies, local government institutes 
and projects, MOWCA"
Institutionalizing Change and Sustainability Strategies,
"K.   Integrate progressive provisions within the legal framework 
such as the Local Government Act 2009 and its stipulations 
for women’s representation and their functions, the creation of 
standing committees, etc., used to provide legitimacy, promote 
sustainability, and further women’s leadership.","Government agencies and projects, development 
partners"
"L. 
Strengthen the capacity of staff, NGOs, and contractors in 
addressing gender issues.","Government agencies and projects, and development 
agencies"
"M.  Consistently integrate gender responsive requirements  
(e.g., on core labor standards, working conditions and facilities, 
safety and security) in all urban projects and contractors’ legal 
and contractual obligations (standard bid documents).","Government agencies, local government institutes 
and projects"
Public–Private Partnerships (PPP),
"N.   For the government to monitor compliance of the private sector 
with government policies and principles regarding gender 
equity and mainstreaming in the provision of urban housing, 
infrastructure, and services.","Government, Local Government Division, local 
government institutes"
